t,phase,drift,drift_type,mean_p_true,mean_w_true,mean_p_post,mean_w_post,H_score,drift_score
0,train,False,none,0.5001175999641418,0.4987781345844269,0.5000360047683715,0.49998095631599426,0.95,5.981597496429458e-06
10,train,False,none,0.5001175999641418,0.4987781345844269,0.5003314105448993,0.4998500943183899,0.75,5.495313416759018e-06
20,train,False,none,0.5001175999641418,0.4987781345844269,0.5003227974284152,0.4997813403606415,0.74,5.085531029180856e-06
30,train,False,none,0.5001175999641418,0.4987781345844269,0.5003639314202805,0.49976351857185364,0.69,4.750531388708623e-06
40,train,False,none,0.5001175999641418,0.4987781345844269,0.500247755540077,0.49963057041168213,0.72,4.33135028288234e-06
50,train,False,none,0.5001175999641418,0.4987781345844269,0.5000416067391055,0.4995673894882202,0.78,4.11599194194423e-06
60,train,False,none,0.5001175999641418,0.4987781345844269,0.5001555757850069,0.4995550811290741,0.67,3.725038368429523e-06
70,train,False,none,0.5001175999641418,0.4987781345844269,0.4999422899252313,0.49952879548072815,0.76,3.6472513329499634e-06
80,train,False,none,0.5001175999641418,0.4987781345844269,0.4999698512221027,0.4994114637374878,0.69,3.4931779282487696e-06
90,train,False,none,0.5001175999641418,0.4987781345844269,0.5000326015625777,0.49931421875953674,0.69,3.3620915473875357e-06
100,train,False,none,0.5001175999641418,0.4987781345844269,0.500033028523758,0.49931156635284424,0.77,3.3279477520409273e-06
110,train,False,none,0.5001175999641418,0.4987781345844269,0.49978565563128685,0.49923592805862427,0.67,3.283852038293844e-06
120,train,False,none,0.5001175999641418,0.4987781345844269,0.49973052930926204,0.4992746114730835,0.77,3.1459708225156646e-06
130,train,False,none,0.5001175999641418,0.4987781345844269,0.4997586198513436,0.49925297498703003,0.73,3.1535844300378812e-06
140,train,False,none,0.5001175999641418,0.4987781345844269,0.4995803657423733,0.4992167055606842,0.74,3.0721730581717566e-06
150,train,False,none,0.5001175999641418,0.4987781345844269,0.4996291645695719,0.4991603493690491,0.7,3.064003294639406e-06
160,train,False,none,0.5001175999641418,0.4987781345844269,0.499653102107838,0.49907925724983215,0.73,3.093892246397445e-06
170,train,False,none,0.5001175999641418,0.4987781345844269,0.49961670676405345,0.4989975094795227,0.66,3.037345322809415e-06
180,train,False,none,0.5001175999641418,0.4987781345844269,0.49943798153232566,0.49903783202171326,0.7,2.992758254549699e-06
190,train,False,none,0.5001175999641418,0.4987781345844269,0.4995827908280029,0.49902674555778503,0.82,2.9074262783979066e-06
200,train,False,none,0.5001175999641418,0.4987781345844269,0.49976006351945396,0.4989958107471466,0.79,2.9310649551916867e-06
210,train,False,none,0.5001175999641418,0.4987781345844269,0.4997651458613558,0.49897655844688416,0.75,2.9438813271553954e-06
220,train,False,none,0.5001175999641418,0.4987781345844269,0.4995667368828432,0.4989151954650879,0.66,3.012179604411358e-06
230,train,False,none,0.5001175999641418,0.4987781345844269,0.499606323461485,0.4989240765571594,0.72,2.950425368908327e-06
240,train,False,none,0.5001175999641418,0.4987781345844269,0.49959359711246026,0.49898257851600647,0.78,2.9453176466631703e-06
250,predict,True,predict,-0.018207969556890604,0.007882363308959191,0.49472357853071697,,0.0,
260,predict,True,predict,-0.0015285940169797573,-0.008247864969425622,0.44741913650739096,,0.0,
270,predict,True,predict,0.005277758046882602,0.020331471554448637,0.40541078305653183,,0.0,
280,predict,True,predict,0.01196558915628379,0.0048924095420005455,0.3670117783161575,,0.0,
290,predict,True,predict,-0.01584816850495284,-0.008698091776952565,0.33210223794191646,,0.0,
300,predict,True,predict,-0.01157432417556307,0.01339151089297692,0.3004087528127122,,0.0,
310,predict,True,predict,-0.01146421794305834,-0.007073351154952794,0.27187289829334677,,0.0,
320,predict,True,predict,-0.04692256751576506,-0.00823210595691732,0.2458769758971946,,0.0,
330,predict,True,predict,-0.03582885396191092,0.05274229121444869,0.22236672965879462,,0.0,
340,predict,True,predict,-0.00731402266703202,0.001886388399983241,0.20110448438174255,,0.0,
350,predict,True,predict,0.016955246972812144,0.024991155043760583,0.18285754727231923,,0.04,
360,predict,True,predict,-0.010119057607480036,-0.020791987246634898,0.16568095487636497,,0.0,
370,predict,True,predict,-0.022667454167856826,-0.01855773163610303,0.14983888576052706,,0.0,
380,predict,True,predict,-0.05064334762394389,-0.06810923778222466,0.13551160242111263,,0.0,
390,predict,True,predict,-0.07011780476002007,-0.08580207898916031,0.12255426418537399,,0.0,
400,predict,True,predict,-0.08117370683687496,-0.10908918246311898,0.11083587974514571,,0.0,
410,predict,True,predict,-0.042644344331368655,-0.14991670081647923,0.10023798290934122,,0.0,
420,predict,True,predict,-0.06509418707798739,-0.11486218716863437,0.09065343497824707,,0.0,
430,predict,True,predict,-0.06378242216264496,-0.12823402563036831,0.08198534163230282,,0.0,
440,predict,True,predict,0.016311815192995727,-0.16671218410303487,0.07474547677572774,,0.02,
450,predict,True,predict,-0.011592016010621646,-0.22323740639863296,0.06847242680552322,,0.0,
460,predict,True,predict,0.017179005663203368,-0.2190133114863671,0.062134755435267565,,0.0,
470,predict,True,predict,-0.054358248098318095,-0.19051480971412169,0.05635730009673811,,0.0,
480,predict,True,predict,-0.11217378100446021,-0.1869195561248403,0.050968532003381896,,0.0,
490,predict,True,predict,-0.15985690293534222,-0.20311417690154118,0.046095026733371174,,0.0,
