iter	MultiClass
0	0.953365996
1	0.8426527344
2	0.7523061103
3	0.6803767386
4	0.6203448066
5	0.569019547
6	0.5257626651
7	0.4884297209
8	0.4556201318
9	0.4268146647
10	0.4010238762
11	0.3794733405
12	0.3603477282
13	0.3433920615
14	0.3282323729
15	0.3147119684
16	0.3026238996
17	0.2918350709
18	0.2857425259
19	0.2763837217
20	0.2681676532
21	0.2609341948
22	0.254161198
23	0.2482918291
24	0.2451992441
25	0.2408471395
26	0.2382579823
27	0.2348291421
28	0.2324933204
29	0.2301519617
30	0.2273019156
31	0.2242116453
32	0.2224060044
33	0.2196079459
34	0.2185678525
35	0.2175290261
36	0.2166538238
37	0.2152373397
38	0.2137029112
39	0.2124848778
40	0.2113525468
41	0.2109828561
42	0.2101866077
43	0.2091590178
44	0.2084316957
45	0.2077021118
46	0.2057038552
47	0.2051984617
48	0.2046319779
49	0.2040223808
50	0.2032080917
51	0.2026442235
52	0.2020022628
53	0.2013256293
54	0.2007262688
55	0.2004821334
56	0.1998242483
57	0.199363822
58	0.1986980347
59	0.1983013721
60	0.1977244659
61	0.1974759982
62	0.1968513675
63	0.1960718628
64	0.1956557264
65	0.1953629422
66	0.1948124909
67	0.1945198056
68	0.1940348667
69	0.1936311743
70	0.1925836366
71	0.191863557
72	0.1912475337
73	0.190673813
74	0.1902238353
75	0.18978815
76	0.1879989526
77	0.1876071563
78	0.187246335
79	0.1867056182
80	0.1862055975
81	0.1856620098
82	0.1853103154
83	0.1849158989
84	0.1846151475
85	0.1842026467
86	0.1837592405
87	0.1834483838
88	0.1830544501
89	0.1827057149
90	0.1822908394
91	0.1819822602
92	0.1816504666
93	0.1811695149
94	0.1808866921
95	0.1804999205
96	0.1801516394
97	0.1798741746
98	0.1795080873
99	0.1789760297
100	0.1786092049
101	0.1783071295
102	0.1780747775
103	0.1778850641
104	0.1776744942
105	0.1771532297
106	0.1768158495
107	0.1766307437
108	0.1763359558
109	0.1757611323
110	0.1752743479
111	0.1750633203
112	0.1746143136
113	0.1742861699
114	0.1739717213
115	0.1736780047
116	0.1731857611
117	0.1729474656
118	0.1726809068
119	0.1724813468
120	0.17222693
121	0.1719231612
122	0.1717634353
123	0.1714069566
124	0.1710146242
125	0.1707748221
126	0.1704696086
127	0.1702116793
128	0.1700464961
129	0.1698589859
130	0.1695537542
131	0.169324538
132	0.168991514
133	0.1685224808
134	0.1680566841
135	0.1677054968
136	0.1673208326
137	0.166954571
138	0.1667313951
139	0.1665362482
140	0.166375612
141	0.1652114526
142	0.1649298792
143	0.1645024828
144	0.164332937
145	0.1641199009
146	0.1639906688
147	0.1636713875
148	0.1634981125
149	0.1632178225
150	0.1628564026
151	0.1625392665
152	0.1622300282
153	0.1619173501
154	0.1617093406
155	0.1612419776
156	0.1609935647
157	0.1607718424
158	0.1603989846
159	0.1599915183
160	0.1594077689
161	0.1591127649
162	0.1589779806
163	0.1587952827
164	0.1586033272
165	0.1583795774
166	0.1580897082
167	0.1576911638
168	0.1574049675
169	0.1572089768
170	0.1569816177
171	0.1566377858
172	0.1563977461
173	0.1559960022
174	0.1557982873
175	0.1555061841
176	0.1552887786
177	0.1549931664
178	0.1546363129
179	0.1543315436
180	0.1540533271
181	0.1539235997
182	0.1536253137
183	0.1532314489
184	0.1527407052
185	0.1525845964
186	0.1523778238
187	0.1520639369
188	0.1518045707
189	0.1516623489
190	0.1511869603
191	0.1508581357
192	0.1505868093
193	0.1502206979
194	0.1498909171
195	0.1496149129
196	0.1495055105
197	0.1492324958
198	0.1490898415
199	0.1488029264
200	0.1484332544
201	0.1481735488
202	0.1478858175
203	0.1475514942
204	0.1471653558
205	0.1470109442
206	0.1467793537
207	0.1466091396
208	0.146335089
209	0.1461178179
210	0.1458347581
211	0.1455047855
212	0.1452142421
213	0.1450116081
214	0.1447324633
215	0.1445576967
216	0.1443899811
217	0.1439970833
218	0.1436040705
219	0.143469711
220	0.14319919
221	0.1429057448
222	0.1427488204
223	0.1424704194
224	0.1421662532
225	0.1418636542
226	0.1416240546
227	0.1414766546
228	0.1412316616
229	0.1411091557
230	0.1408052983
231	0.1405055958
232	0.1403385305
233	0.1401362459
234	0.1399874476
235	0.1397696139
236	0.1396281262
237	0.1394654062
238	0.1391624761
239	0.1390503803
240	0.1387811626
241	0.1385894426
242	0.1382991967
243	0.1380920732
244	0.1377395086
245	0.1375239157
246	0.1372483545
247	0.1369236109
248	0.1367098592
249	0.1365171295
250	0.1362175829
251	0.1359478126
252	0.1356062916
253	0.1354071868
254	0.1351096814
255	0.1349577303
256	0.1347422588
257	0.1345957232
258	0.1344207115
259	0.1342852671
260	0.1341418346
261	0.133893134
262	0.1337611335
263	0.1336332682
264	0.1334611647
265	0.1333431671
266	0.1331981187
267	0.1330032228
268	0.1328782642
269	0.1326274698
270	0.1324845484
271	0.132254309
272	0.1319173999
273	0.1317297746
274	0.1315114919
275	0.1311705708
276	0.1310728728
277	0.1308591165
278	0.1306197861
279	0.1304048466
280	0.1301010681
281	0.1299775565
282	0.1297430675
283	0.1295531984
284	0.1293251801
285	0.1292328794
286	0.128988948
287	0.1287100008
288	0.1284180357
289	0.1282345299
290	0.1280774544
291	0.1278579731
292	0.1277542034
293	0.1275412825
294	0.1273914672
295	0.1271279061
296	0.1269464239
297	0.1266475571
298	0.1264836027
299	0.1263247366
300	0.1261170893
301	0.1259153818
302	0.1256869351
303	0.1255275312
304	0.1252789113
305	0.1251020647
306	0.1249254288
307	0.1248001202
308	0.1244020708
309	0.1241700336
310	0.1239415338
311	0.1237119614
312	0.1234603047
313	0.1233155518
314	0.1232357269
315	0.1230623905
316	0.122837456
317	0.1224831243
318	0.1221973018
319	0.1220452973
320	0.1219413437
321	0.121733199
322	0.1215743592
323	0.1213854063
324	0.1211315818
325	0.1209046872
326	0.1206798139
327	0.120356564
328	0.1202123108
329	0.120088452
330	0.1199637693
331	0.1197691794
332	0.1195974526
333	0.1194836151
334	0.1193537365
335	0.11921237
336	0.1189531386
337	0.1188480761
338	0.1186458022
339	0.1185150336
340	0.1183882842
341	0.1182723774
342	0.1181413413
343	0.1179726651
344	0.1178230882
345	0.1177147808
346	0.117502887
347	0.1172858093
348	0.117121214
349	0.1170136513
350	0.1168249839
351	0.1165703595
352	0.1164454391
353	0.1162610962
354	0.1160706347
355	0.115910135
356	0.1157456699
357	0.1155347663
358	0.115430687
