iter	Passed	Remaining
0	4	3289
1	8	3285
2	12	3326
3	16	3285
4	20	3229
5	24	3206
6	28	3196
7	32	3171
8	35	3133
9	39	3118
10	42	3037
11	46	3025
12	49	3016
13	53	3010
14	57	2999
15	60	2988
16	64	2977
17	68	2974
18	72	2965
19	75	2954
20	79	2945
21	83	2937
22	87	2962
23	92	2990
24	96	3000
25	101	3012
26	105	3021
27	109	3023
28	113	3018
29	117	3014
30	121	3009
31	125	3002
32	128	2987
33	132	2977
34	135	2972
35	139	2961
36	143	2954
37	147	2952
38	150	2941
39	154	2932
40	157	2922
41	161	2914
42	165	2910
43	169	2905
44	172	2901
45	176	2893
46	180	2888
47	183	2882
48	187	2876
49	191	2876
50	195	2877
51	199	2873
52	204	2875
53	208	2876
54	212	2873
55	215	2865
56	219	2858
57	222	2852
58	227	2851
59	230	2846
60	234	2844
61	238	2837
62	242	2833
63	245	2827
64	249	2824
65	253	2816
66	256	2811
67	260	2804
68	264	2797
69	267	2792
70	271	2785
71	275	2781
72	278	2773
73	282	2772
74	286	2769
75	290	2763
76	293	2758
77	297	2753
78	301	2753
79	305	2753
80	310	2752
81	313	2747
82	317	2744
83	321	2739
84	325	2735
85	329	2733
86	333	2730
87	337	2726
88	341	2725
89	345	2723
90	349	2720
91	352	2714
92	356	2709
93	360	2704
94	363	2700
95	368	2699
96	371	2694
97	375	2688
98	379	2684
99	382	2680
100	386	2677
101	390	2675
102	394	2669
103	398	2665
104	401	2660
105	405	2656
106	409	2652
107	413	2648
108	417	2645
109	421	2641
110	424	2636
111	428	2632
112	432	2628
113	435	2622
114	439	2617
115	443	2612
116	446	2607
117	450	2602
118	453	2597
119	457	2592
120	461	2587
121	465	2584
122	468	2579
123	472	2573
124	475	2570
125	479	2567
126	483	2562
127	487	2556
128	490	2552
129	494	2549
130	498	2546
131	502	2542
132	506	2537
133	509	2533
134	513	2530
135	517	2525
136	520	2521
137	524	2516
138	528	2511
139	531	2507
140	535	2501
141	539	2498
142	542	2493
143	546	2491
144	550	2488
145	554	2485
146	558	2480
147	562	2476
148	565	2471
149	569	2467
150	573	2463
151	576	2459
152	580	2455
153	584	2452
154	588	2447
155	591	2443
156	596	2441
157	599	2436
158	603	2433
159	607	2428
160	610	2424
161	614	2420
162	618	2415
163	621	2409
164	625	2405
165	628	2401
166	632	2397
167	636	2393
168	640	2391
169	644	2388
170	648	2385
171	652	2381
172	656	2377
173	660	2375
174	663	2370
175	667	2366
176	671	2362
177	674	2358
178	678	2354
179	682	2349
180	685	2344
181	689	2339
182	692	2335
183	696	2331
184	700	2328
185	704	2325
186	708	2321
187	712	2318
188	716	2314
189	719	2310
190	723	2306
191	727	2303
192	731	2299
193	735	2296
194	738	2291
195	742	2286
196	745	2282
197	749	2278
198	753	2275
199	757	2271
200	760	2267
201	764	2263
202	768	2259
203	772	2256
204	776	2253
205	779	2249
206	783	2244
207	787	2241
208	791	2237
209	795	2233
210	798	2229
211	802	2225
212	806	2222
213	810	2218
214	813	2213
215	817	2209
216	820	2204
217	824	2201
218	828	2198
219	832	2193
220	835	2189
221	839	2185
222	843	2181
223	846	2177
224	850	2173
225	854	2169
226	858	2165
227	861	2161
228	865	2158
229	869	2153
230	872	2149
231	876	2146
232	880	2141
233	884	2138
234	888	2135
235	892	2132
236	895	2127
237	899	2123
238	903	2120
239	906	2116
240	911	2113
241	915	2110
242	918	2106
243	922	2102
244	926	2099
245	930	2095
246	934	2091
247	938	2088
248	942	2084
249	945	2080
250	949	2077
251	953	2073
252	957	2070
253	961	2067
254	965	2063
255	969	2060
256	973	2056
257	977	2053
258	981	2050
259	985	2046
260	989	2042
261	993	2039
262	996	2035
263	1000	2031
264	1004	2027
265	1008	2024
266	1011	2019
267	1015	2015
268	1019	2011
269	1022	2007
270	1026	2003
271	1029	1999
272	1033	1995
273	1037	1990
274	1040	1986
275	1044	1983
276	1048	1979
277	1052	1975
278	1055	1971
279	1059	1967
280	1063	1963
281	1066	1959
282	1070	1955
283	1074	1951
284	1077	1947
285	1081	1944
286	1085	1940
287	1089	1937
288	1093	1933
289	1097	1929
290	1100	1925
291	1104	1921
292	1108	1917
293	1111	1913
294	1115	1909
295	1119	1905
296	1122	1901
297	1126	1898
298	1130	1895
299	1134	1891
300	1138	1887
301	1142	1883
302	1145	1879
303	1149	1875
304	1153	1872
305	1157	1869
306	1161	1864
307	1164	1860
308	1168	1857
309	1172	1853
310	1176	1849
311	1180	1845
312	1184	1842
313	1187	1838
314	1191	1834
315	1195	1831
316	1199	1827
317	1203	1823
318	1207	1820
319	1211	1817
320	1214	1812
321	1218	1809
322	1222	1805
323	1226	1801
324	1230	1797
325	1233	1794
326	1237	1790
327	1241	1786
328	1245	1782
329	1248	1778
330	1252	1774
331	1256	1770
332	1259	1767
333	1263	1762
334	1267	1759
335	1271	1755
336	1275	1752
337	1279	1749
338	1283	1745
339	1287	1741
340	1291	1738
341	1295	1734
342	1298	1730
343	1302	1726
344	1306	1722
345	1309	1718
346	1313	1714
347	1316	1710
348	1320	1706
349	1323	1702
