id,amount_tsh,date_recorded,funder,gps_height,installer,longitude,latitude,wpt_name,num_private,basin,subvillage,region,region_code,district_code,lga,ward,population,public_meeting,recorded_by,scheme_management,scheme_name,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group
1,124.9,2013-06-04,World Bank,0,unknown,36.95692712835165,-0.9460747571872155,unknown,2,Pangani,B,Morogoro,7,6,Kinondoni,Sinza,40,True,GeoData Consultants Ltd,water board,unknown,True,1990,rope pump,handpump,motorpump,private operator,unknown,monthly,other,fluoride,bad,dry,insufficient,rainwater harvesting,rainwater harvesting,surface,hand pump,communal standpipe
2,107.6,2013-04-23,unknown,1489,unknown,39.048362781023734,-2.625408351324717,Kwa Mama,4,Lake Tanganyika,D,Dodoma,13,6,Kinondoni,Moshono,0,False,GeoData Consultants Ltd,private operator,unknown,False,2010,rope pump,handpump,handpump,user-group,commercial,pay per bucket,monthly,milky,good,dry,dry,rainwater harvesting,shallow well,unknown,communal standpipe,dam
3,92.5,2012-05-16,Germany,228,unknown,31.55480662888312,-8.943440659220368,Kwa Hassan,9,Lake Tanganyika,D,Kilimanjaro,7,3,Moshi,Kijitonyama,372,True,GeoData Consultants Ltd,private operator,Scheme B,True,1990,rope pump,rope pump,motorpump,user-group,commercial,pay per bucket,never pay,salty,bad,insufficient,insufficient,spring,borehole,unknown,communal standpipe,communal standpipe
4,203.1,2011-04-10,unknown,645,CES,33.756380110737,-3.6095057153775443,Kwa Mzee,5,Wami/Ruvu,D,Morogoro,13,6,Arusha DC,Machame Uroki,40,False,GeoData Consultants Ltd,water board,unknown,False,1980,submersible,motorpump,gravity,user-group,commercial,monthly,monthly,salty,bad,insufficient,dry,borehole,spring,surface,improved spring,dam
5,52.5,2011-12-27,Private,397,WE,32.387204836502384,-0.027249026539363896,unknown,0,Lake Victoria,C,Arusha,22,5,Ilala,Kilimanjaro Central,77,False,GeoData Consultants Ltd,vwc,unknown,False,0,submersible,submersible,gravity,private operator,unknown,never pay,never pay,fluoride,good,seasonal,seasonal,shallow well,rainwater harvesting,groundwater,dam,improved spring
6,19.0,2011-03-21,Germany,0,WE,37.065386054776695,-6.610126005933999,Kwa Mama,9,Pangani,B,Kilimanjaro,10,7,Temeke,Kijitonyama,150,True,GeoData Consultants Ltd,vwc,unknown,False,0,rope pump,handpump,submersible,user-group,commercial,never pay,monthly,milky,bad,insufficient,seasonal,rainwater harvesting,rainwater harvesting,groundwater,dam,improved spring
7,130.0,2012-08-26,Germany,138,WE,29.012986112548973,-10.19858137521028,unknown,8,Lake Tanganyika,A,Morogoro,20,6,Ilala,Machame Uroki,176,False,GeoData Consultants Ltd,private operator,unknown,False,0,handpump,gravity,motorpump,vwc,unknown,monthly,monthly,salty,unknown,dry,insufficient,rainwater harvesting,spring,groundwater,improved spring,hand pump
8,118.9,2013-12-09,Germany,17,DWE,32.18433159484812,-0.6008383166899911,Kwa Mzee,3,Lake Nyasa,D,Arusha,6,9,Hai,Kijitonyama,0,False,GeoData Consultants Ltd,vwc,unknown,False,1980,rope pump,rope pump,handpump,private operator,user-group,other,monthly,fluoride,bad,insufficient,enough,shallow well,rainwater harvesting,surface,communal standpipe,hand pump
9,19.3,2013-10-12,Private,33,WE,30.70133210915685,-7.217478595066087,unknown,2,Lake Victoria,B,Dodoma,19,4,Hai,Sinza,150,False,GeoData Consultants Ltd,private operator,Scheme B,False,0,rope pump,gravity,motorpump,water board,commercial,never pay,pay per bucket,fluoride,bad,enough,insufficient,shallow well,borehole,surface,improved spring,hand pump
10,134.8,2011-12-15,unknown,902,WE,32.608622517890545,-0.581321417065281,Kwa Mama,5,Pangani,D,Dar es Salaam,12,3,Kinondoni,Sinza,167,False,GeoData Consultants Ltd,user-group,Scheme B,False,0,submersible,motorpump,motorpump,vwc,unknown,other,other,unknown,bad,dry,insufficient,borehole,shallow well,groundwater,dam,improved spring
11,129.6,2011-04-22,Private,192,DWE,34.88057592885929,-10.208292715193377,unknown,4,Ruvuma,B,Mwanza,15,9,Arusha DC,Moshono,236,True,GeoData Consultants Ltd,water board,Scheme A,False,1990,submersible,submersible,submersible,user-group,commercial,other,other,unknown,unknown,seasonal,dry,rainwater harvesting,borehole,surface,hand pump,dam
12,657.3,2011-03-24,Government,1574,unknown,33.24590087554262,-11.412735291390916,Kwa Mama,9,Lake Tanganyika,D,Dodoma,13,7,Arusha DC,Moshono,305,False,GeoData Consultants Ltd,private operator,Scheme B,False,2010,motorpump,handpump,gravity,private operator,unknown,other,other,unknown,good,seasonal,insufficient,rainwater harvesting,spring,unknown,dam,dam
13,12.2,2013-01-02,unknown,1379,DWE,33.23577338026928,-2.580249382137879,Kwa Hassan,6,Lake Victoria,D,Dar es Salaam,1,9,Hai,Kijitonyama,264,False,GeoData Consultants Ltd,user-group,unknown,False,1990,motorpump,motorpump,motorpump,private operator,user-group,never pay,monthly,milky,good,dry,insufficient,rainwater harvesting,borehole,groundwater,communal standpipe,communal standpipe
14,570.2,2013-02-08,Government,953,unknown,39.117976174669366,-0.8429762154412703,Kwa Mama,7,Lake Tanganyika,C,Dar es Salaam,9,3,Hai,Machame Uroki,174,True,GeoData Consultants Ltd,private operator,Scheme A,True,1980,rope pump,submersible,submersible,water board,unknown,other,monthly,unknown,bad,enough,insufficient,rainwater harvesting,shallow well,unknown,communal standpipe,improved spring
15,253.3,2013-10-25,Government,174,unknown,39.52835996911031,-0.4783121004846933,Kwa Hassan,5,Pangani,A,Arusha,11,4,Hai,Kilimanjaro Central,0,True,GeoData Consultants Ltd,private operator,unknown,True,2000,gravity,rope pump,submersible,user-group,commercial,never pay,pay per bucket,unknown,bad,enough,insufficient,rainwater harvesting,spring,surface,communal standpipe,communal standpipe
16,88.5,2013-12-12,Private,1822,WE,29.42293919925339,-10.055239533968003,Kwa Mama,8,Wami/Ruvu,D,Kilimanjaro,5,2,Hai,Kilimanjaro Central,212,False,GeoData Consultants Ltd,private operator,Scheme B,True,1980,gravity,rope pump,gravity,vwc,user-group,never pay,other,milky,unknown,seasonal,enough,shallow well,shallow well,groundwater,communal standpipe,hand pump
17,178.9,2013-09-07,Private,1002,CES,34.06058573520115,-5.377083651740037,Kwa Mzee,9,Lake Tanganyika,B,Arusha,15,1,Moshi,Kilimanjaro Central,41,False,GeoData Consultants Ltd,water board,Scheme B,True,1980,submersible,rope pump,gravity,water board,unknown,monthly,pay per bucket,milky,bad,dry,dry,rainwater harvesting,spring,unknown,communal standpipe,improved spring
18,104.6,2011-08-23,Private,1155,WE,36.39108913070641,-1.3672134092297483,Kwa Hassan,3,Lake Tanganyika,C,Dodoma,5,5,Kinondoni,Moshono,457,True,GeoData Consultants Ltd,private operator,Scheme B,True,2010,handpump,motorpump,gravity,private operator,commercial,monthly,pay per bucket,unknown,good,insufficient,enough,shallow well,borehole,surface,communal standpipe,communal standpipe
19,174.0,2011-04-24,Government,757,unknown,35.721060604279984,-0.8276451217417957,unknown,8,Wami/Ruvu,B,Dar es Salaam,20,1,Hai,Kijitonyama,437,False,GeoData Consultants Ltd,vwc,Scheme B,False,2010,gravity,submersible,handpump,user-group,commercial,other,never pay,fluoride,unknown,dry,insufficient,spring,shallow well,groundwater,dam,improved spring
20,183.3,2011-03-22,Germany,69,unknown,37.09161752175687,-1.2278821733801326,Kwa Hassan,9,Lake Nyasa,A,Kilimanjaro,29,4,Ilala,Sinza,74,True,GeoData Consultants Ltd,user-group,Scheme B,True,1980,motorpump,gravity,gravity,vwc,commercial,other,pay per bucket,fluoride,unknown,seasonal,enough,rainwater harvesting,spring,surface,dam,improved spring
21,38.6,2012-02-22,Germany,1841,WE,32.88359133472076,-4.028240028274292,Kwa Mzee,6,Lake Victoria,B,Kilimanjaro,17,8,Kinondoni,Sinza,83,True,GeoData Consultants Ltd,water board,Scheme B,False,2000,handpump,gravity,submersible,water board,user-group,pay per bucket,pay per bucket,salty,unknown,insufficient,enough,borehole,spring,groundwater,communal standpipe,communal standpipe
22,168.7,2011-11-13,unknown,19,CES,34.329209038136064,-9.209975148908855,Kwa Mama,5,Pangani,B,Kilimanjaro,9,3,Temeke,Moshono,302,True,GeoData Consultants Ltd,private operator,Scheme A,False,0,gravity,rope pump,motorpump,private operator,unknown,other,never pay,milky,bad,seasonal,dry,rainwater harvesting,shallow well,surface,communal standpipe,dam
23,473.6,2012-06-07,World Bank,1700,WE,33.81657773606169,-9.62723603111648,Kwa Mzee,9,Wami/Ruvu,C,Dar es Salaam,14,7,Hai,Moshono,353,False,GeoData Consultants Ltd,user-group,Scheme A,False,0,submersible,motorpump,rope pump,water board,unknown,other,pay per bucket,fluoride,unknown,enough,dry,rainwater harvesting,borehole,surface,dam,hand pump
24,1300.9,2011-02-13,Private,705,CES,32.88115244476592,-4.959161561528505,Kwa Mzee,0,Lake Tanganyika,D,Kilimanjaro,22,6,Arusha DC,Moshono,0,False,GeoData Consultants Ltd,vwc,Scheme B,True,2010,submersible,motorpump,rope pump,water board,commercial,other,never pay,soft,unknown,insufficient,dry,spring,rainwater harvesting,surface,improved spring,hand pump
25,664.4,2011-09-14,World Bank,1946,WE,30.61478706601503,-0.28925354580494655,Kwa Mama,4,Pangani,B,Kilimanjaro,10,1,Ilala,Moshono,105,True,GeoData Consultants Ltd,user-group,Scheme A,True,1990,motorpump,handpump,gravity,private operator,commercial,pay per bucket,never pay,salty,unknown,enough,enough,rainwater harvesting,spring,groundwater,improved spring,hand pump
26,565.3,2012-01-16,World Bank,1405,WE,34.4980460341471,-9.79586240639335,Kwa Mzee,6,Pangani,A,Kilimanjaro,20,5,Arusha DC,Machame Uroki,414,False,GeoData Consultants Ltd,user-group,unknown,False,1990,handpump,submersible,gravity,private operator,unknown,other,monthly,salty,good,seasonal,insufficient,rainwater harvesting,shallow well,unknown,improved spring,communal standpipe
27,590.6,2013-08-13,Private,659,WE,38.23939914485843,-2.5308350658906047,unknown,8,Lake Nyasa,B,Arusha,18,7,Temeke,Sinza,117,True,GeoData Consultants Ltd,vwc,unknown,True,0,gravity,rope pump,gravity,water board,commercial,monthly,other,unknown,unknown,dry,dry,shallow well,spring,surface,hand pump,communal standpipe
28,179.0,2011-04-25,Germany,1596,CES,30.182313451829632,-6.072539919685776,Kwa Mzee,8,Lake Tanganyika,B,Arusha,17,6,Arusha DC,Kijitonyama,193,False,GeoData Consultants Ltd,water board,unknown,True,2010,handpump,submersible,motorpump,water board,unknown,pay per bucket,pay per bucket,unknown,bad,insufficient,insufficient,spring,shallow well,groundwater,dam,improved spring
29,70.8,2013-12-25,Private,1468,WE,31.087453403473294,-9.419713801919123,unknown,2,Lake Nyasa,A,Mwanza,27,9,Hai,Kilimanjaro Central,375,False,GeoData Consultants Ltd,water board,unknown,False,1980,rope pump,submersible,handpump,vwc,user-group,never pay,pay per bucket,milky,good,seasonal,enough,spring,borehole,groundwater,improved spring,dam
30,359.4,2012-08-02,Government,0,WE,34.92674004833713,-7.989329560801414,Kwa Mzee,7,Lake Nyasa,C,Dar es Salaam,27,6,Moshi,Kilimanjaro Central,294,False,GeoData Consultants Ltd,private operator,Scheme A,True,0,handpump,motorpump,gravity,private operator,commercial,monthly,pay per bucket,soft,unknown,enough,enough,spring,rainwater harvesting,unknown,hand pump,hand pump
31,258.6,2012-06-11,World Bank,1840,DWE,39.86952447236409,-4.141635803674246,Kwa Mzee,5,Lake Tanganyika,C,Dar es Salaam,16,5,Ilala,Kilimanjaro Central,190,True,GeoData Consultants Ltd,private operator,Scheme B,False,1990,rope pump,rope pump,submersible,water board,unknown,other,other,soft,good,insufficient,enough,shallow well,borehole,groundwater,hand pump,communal standpipe
32,51.5,2011-02-20,World Bank,174,CES,32.528142354599524,-7.864215328310068,unknown,6,Pangani,C,Dar es Salaam,26,8,Moshi,Kijitonyama,391,False,GeoData Consultants Ltd,water board,Scheme B,True,0,gravity,handpump,handpump,water board,user-group,monthly,pay per bucket,soft,unknown,dry,seasonal,shallow well,shallow well,groundwater,communal standpipe,improved spring
33,134.9,2011-11-21,World Bank,1185,DWE,30.86281026577683,-1.5578441808463328,Kwa Mama,4,Pangani,B,Morogoro,27,9,Moshi,Kilimanjaro Central,336,False,GeoData Consultants Ltd,private operator,Scheme A,False,1980,submersible,gravity,rope pump,water board,user-group,monthly,monthly,fluoride,bad,insufficient,enough,borehole,shallow well,groundwater,hand pump,dam
34,7.5,2012-11-03,Germany,327,unknown,34.94706634898584,-3.960082955736432,Kwa Mzee,0,Ruvuma,D,Arusha,21,4,Arusha DC,Kilimanjaro Central,320,True,GeoData Consultants Ltd,private operator,Scheme B,False,0,rope pump,motorpump,rope pump,vwc,unknown,pay per bucket,pay per bucket,unknown,unknown,enough,seasonal,shallow well,spring,unknown,improved spring,dam
35,215.8,2012-08-14,Private,0,CES,29.640044804852753,-8.021884651609877,Kwa Mzee,7,Pangani,A,Dodoma,17,9,Hai,Moshono,3,True,GeoData Consultants Ltd,user-group,unknown,True,0,motorpump,handpump,handpump,vwc,unknown,monthly,monthly,fluoride,unknown,enough,insufficient,shallow well,spring,unknown,improved spring,improved spring
36,1691.9,2013-02-24,World Bank,589,CES,35.08132465718345,-9.972270227864191,Kwa Mzee,8,Lake Victoria,C,Kilimanjaro,9,4,Moshi,Kilimanjaro Central,288,False,GeoData Consultants Ltd,vwc,Scheme B,False,0,gravity,handpump,gravity,user-group,user-group,monthly,other,fluoride,good,dry,seasonal,shallow well,rainwater harvesting,unknown,improved spring,improved spring
37,395.9,2012-03-27,Germany,1117,CES,34.54487218724644,-10.235241145957957,unknown,5,Lake Tanganyika,D,Arusha,19,8,Hai,Moshono,388,True,GeoData Consultants Ltd,private operator,Scheme A,True,1980,submersible,rope pump,gravity,private operator,commercial,never pay,pay per bucket,milky,good,seasonal,seasonal,shallow well,rainwater harvesting,surface,communal standpipe,hand pump
38,625.5,2012-02-04,unknown,1828,DWE,39.02787704077846,-9.512676609720401,Kwa Mama,5,Pangani,C,Mwanza,21,7,Arusha DC,Kijitonyama,191,False,GeoData Consultants Ltd,water board,Scheme B,True,1990,submersible,gravity,motorpump,vwc,user-group,never pay,monthly,unknown,bad,dry,enough,shallow well,shallow well,unknown,communal standpipe,hand pump
39,151.6,2012-10-08,World Bank,1525,WE,35.74381745488198,-7.079167056235738,Kwa Hassan,3,Lake Tanganyika,D,Morogoro,26,9,Moshi,Sinza,347,True,GeoData Consultants Ltd,private operator,Scheme A,True,0,handpump,rope pump,submersible,private operator,commercial,never pay,other,unknown,good,enough,insufficient,spring,borehole,groundwater,improved spring,dam
40,154.0,2012-11-16,World Bank,0,DWE,36.11161275483417,-2.8483402883262947,Kwa Mama,5,Wami/Ruvu,D,Dar es Salaam,15,5,Kinondoni,Kilimanjaro Central,0,False,GeoData Consultants Ltd,user-group,Scheme A,False,1990,handpump,motorpump,handpump,private operator,commercial,pay per bucket,monthly,salty,bad,seasonal,insufficient,spring,borehole,surface,communal standpipe,communal standpipe
41,964.3,2012-04-25,unknown,67,CES,29.98046905171321,-7.1242988613157125,unknown,8,Lake Nyasa,D,Morogoro,14,3,Arusha DC,Kijitonyama,351,False,GeoData Consultants Ltd,vwc,Scheme A,False,2010,submersible,gravity,gravity,water board,user-group,pay per bucket,pay per bucket,soft,bad,enough,seasonal,rainwater harvesting,rainwater harvesting,unknown,improved spring,communal standpipe
42,63.9,2012-11-21,Private,1394,WE,33.094525597442164,-3.861832528252764,Kwa Hassan,0,Lake Victoria,A,Mwanza,29,9,Kinondoni,Sinza,213,True,GeoData Consultants Ltd,user-group,Scheme B,True,0,rope pump,motorpump,gravity,vwc,user-group,never pay,other,unknown,bad,dry,dry,shallow well,rainwater harvesting,groundwater,dam,hand pump
43,179.3,2012-12-14,World Bank,1961,unknown,36.687867925970764,-6.794772518179837,Kwa Hassan,1,Pangani,C,Morogoro,21,6,Temeke,Moshono,471,False,GeoData Consultants Ltd,vwc,Scheme B,False,2010,rope pump,rope pump,handpump,user-group,user-group,other,other,unknown,good,insufficient,insufficient,spring,shallow well,groundwater,dam,hand pump
44,4.7,2012-03-18,Government,764,unknown,32.85492490588476,-6.99480420912194,Kwa Hassan,8,Ruvuma,A,Dar es Salaam,2,5,Arusha DC,Kijitonyama,271,False,GeoData Consultants Ltd,private operator,Scheme A,False,1990,rope pump,gravity,handpump,water board,unknown,pay per bucket,monthly,salty,bad,insufficient,dry,shallow well,rainwater harvesting,surface,improved spring,communal standpipe
45,136.4,2012-04-06,unknown,0,DWE,39.587004393562744,-4.986837112003817,unknown,4,Lake Nyasa,B,Arusha,20,6,Kinondoni,Machame Uroki,0,False,GeoData Consultants Ltd,user-group,Scheme A,True,0,gravity,submersible,motorpump,water board,commercial,other,never pay,soft,unknown,dry,dry,rainwater harvesting,shallow well,surface,hand pump,communal standpipe
46,237.3,2011-05-06,Germany,0,CES,36.95443383982526,-0.2952924309084288,Kwa Mama,1,Wami/Ruvu,D,Dodoma,21,3,Temeke,Sinza,82,False,GeoData Consultants Ltd,private operator,Scheme A,True,2000,gravity,gravity,motorpump,vwc,commercial,never pay,pay per bucket,soft,good,seasonal,insufficient,borehole,rainwater harvesting,unknown,dam,improved spring
47,419.9,2013-03-12,Private,846,DWE,30.43656423408178,-11.094366656523984,Kwa Hassan,6,Ruvuma,A,Dar es Salaam,8,5,Moshi,Kijitonyama,404,False,GeoData Consultants Ltd,water board,Scheme B,True,2000,handpump,gravity,submersible,private operator,commercial,other,monthly,soft,unknown,enough,dry,shallow well,spring,surface,hand pump,improved spring
48,25.5,2013-11-23,World Bank,445,unknown,29.091576336299976,-11.979120533515113,Kwa Mama,6,Wami/Ruvu,D,Morogoro,15,6,Arusha DC,Moshono,206,True,GeoData Consultants Ltd,water board,unknown,True,1980,gravity,rope pump,handpump,water board,commercial,monthly,other,salty,unknown,seasonal,seasonal,shallow well,shallow well,groundwater,communal standpipe,communal standpipe
49,40.4,2013-01-25,Germany,1442,CES,38.86432783203794,-9.816753529083257,Kwa Mzee,0,Ruvuma,C,Mwanza,4,1,Hai,Moshono,153,False,GeoData Consultants Ltd,vwc,Scheme A,True,1990,gravity,gravity,handpump,user-group,unknown,monthly,pay per bucket,milky,bad,insufficient,seasonal,spring,spring,groundwater,hand pump,hand pump
50,467.7,2013-03-27,Government,1563,CES,29.93884132340607,-7.744360174201017,Kwa Mzee,1,Lake Nyasa,A,Morogoro,13,9,Temeke,Kijitonyama,0,True,GeoData Consultants Ltd,vwc,Scheme A,True,2010,gravity,handpump,submersible,vwc,unknown,other,pay per bucket,salty,unknown,insufficient,enough,shallow well,spring,unknown,hand pump,communal standpipe
51,357.7,2011-03-11,World Bank,949,WE,32.923559022407126,-4.129208798135796,unknown,8,Ruvuma,B,Mwanza,18,1,Moshi,Machame Uroki,196,True,GeoData Consultants Ltd,water board,Scheme B,True,0,handpump,submersible,gravity,vwc,unknown,pay per bucket,monthly,fluoride,bad,dry,seasonal,borehole,shallow well,surface,dam,improved spring
52,74.6,2012-05-02,Private,556,CES,39.99804179511055,-8.810015664183897,Kwa Mama,7,Wami/Ruvu,D,Mwanza,29,7,Ilala,Machame Uroki,457,True,GeoData Consultants Ltd,user-group,Scheme A,True,2000,motorpump,gravity,submersible,private operator,unknown,monthly,never pay,fluoride,bad,seasonal,dry,borehole,borehole,unknown,improved spring,communal standpipe
53,448.7,2011-09-10,unknown,1442,WE,39.580944458400296,-2.3497542068579094,unknown,1,Wami/Ruvu,C,Morogoro,3,5,Kinondoni,Machame Uroki,88,False,GeoData Consultants Ltd,user-group,Scheme A,True,2010,gravity,gravity,handpump,water board,user-group,pay per bucket,never pay,milky,bad,insufficient,insufficient,borehole,spring,unknown,dam,dam
54,415.0,2012-05-08,World Bank,471,DWE,30.834937480317073,-7.476070042611472,Kwa Hassan,1,Pangani,B,Kilimanjaro,12,6,Ilala,Kijitonyama,181,True,GeoData Consultants Ltd,water board,Scheme A,False,0,rope pump,handpump,submersible,private operator,unknown,never pay,other,fluoride,bad,seasonal,seasonal,rainwater harvesting,spring,unknown,dam,hand pump
55,259.0,2011-05-03,unknown,1933,WE,34.139351037906295,-10.83208087867241,Kwa Hassan,9,Pangani,C,Dodoma,18,3,Arusha DC,Sinza,147,True,GeoData Consultants Ltd,private operator,Scheme B,True,2010,submersible,motorpump,motorpump,vwc,user-group,monthly,other,salty,good,seasonal,dry,shallow well,shallow well,groundwater,improved spring,improved spring
56,22.2,2012-12-07,Government,0,CES,35.813400722741754,-11.244438661888179,Kwa Hassan,2,Ruvuma,C,Dodoma,5,1,Kinondoni,Sinza,337,True,GeoData Consultants Ltd,vwc,Scheme B,True,1980,gravity,gravity,gravity,water board,user-group,monthly,other,soft,bad,seasonal,dry,borehole,shallow well,surface,hand pump,hand pump
57,101.8,2013-01-01,unknown,354,WE,30.010974333906542,-3.89112578806645,Kwa Mzee,2,Lake Victoria,D,Morogoro,2,8,Ilala,Machame Uroki,310,False,GeoData Consultants Ltd,user-group,Scheme B,True,1990,gravity,motorpump,handpump,private operator,unknown,pay per bucket,never pay,salty,bad,enough,seasonal,borehole,rainwater harvesting,unknown,hand pump,communal standpipe
58,2.8,2012-10-23,Germany,239,unknown,33.52881196084819,-8.283935222693646,unknown,7,Lake Tanganyika,B,Kilimanjaro,22,1,Ilala,Kilimanjaro Central,434,False,GeoData Consultants Ltd,water board,unknown,True,2010,gravity,motorpump,motorpump,user-group,commercial,other,never pay,milky,good,dry,seasonal,rainwater harvesting,borehole,surface,communal standpipe,dam
59,154.1,2011-08-22,unknown,823,WE,30.699461352401713,-3.612032490746506,Kwa Hassan,8,Lake Nyasa,C,Morogoro,11,5,Hai,Kilimanjaro Central,123,False,GeoData Consultants Ltd,water board,Scheme B,False,1980,gravity,rope pump,submersible,vwc,commercial,other,pay per bucket,soft,unknown,dry,seasonal,rainwater harvesting,rainwater harvesting,surface,hand pump,communal standpipe
60,50.9,2012-11-16,Germany,1566,unknown,31.720104043402618,-2.6340577792533644,unknown,8,Wami/Ruvu,B,Morogoro,8,9,Ilala,Moshono,266,True,GeoData Consultants Ltd,water board,Scheme B,True,2010,handpump,motorpump,motorpump,user-group,user-group,never pay,monthly,unknown,unknown,enough,seasonal,rainwater harvesting,borehole,surface,communal standpipe,hand pump
