id,status_group
1,non functional
2,non functional
3,functional needs repair
4,non functional
5,non functional
6,functional
7,non functional
8,functional needs repair
9,non functional
10,non functional
11,non functional
12,non functional
13,non functional
14,functional needs repair
15,functional needs repair
16,non functional
17,functional needs repair
18,functional needs repair
19,non functional
20,functional needs repair
21,functional
22,functional
23,functional needs repair
24,non functional
25,functional needs repair
26,non functional
27,functional needs repair
28,non functional
29,functional needs repair
30,functional
31,functional needs repair
32,non functional
33,functional needs repair
34,functional needs repair
35,functional needs repair
36,non functional
37,functional needs repair
38,non functional
39,non functional
40,functional needs repair
41,non functional
42,non functional
43,functional needs repair
44,functional needs repair
45,non functional
46,functional needs repair
47,functional needs repair
48,functional needs repair
49,functional needs repair
50,non functional
51,non functional
52,functional needs repair
53,non functional
54,functional needs repair
55,functional
56,functional
57,functional needs repair
58,non functional
59,functional needs repair
60,functional needs repair
61,functional needs repair
62,non functional
63,non functional
64,non functional
65,functional
66,functional needs repair
67,functional needs repair
68,functional needs repair
69,functional
70,functional needs repair
71,functional needs repair
72,non functional
73,functional
74,functional needs repair
75,functional needs repair
76,non functional
77,non functional
78,non functional
79,non functional
80,non functional
81,functional needs repair
82,non functional
83,functional needs repair
84,non functional
85,non functional
86,functional
87,functional needs repair
88,non functional
89,functional needs repair
90,functional needs repair
91,non functional
92,non functional
93,non functional
94,non functional
95,functional needs repair
96,non functional
97,functional needs repair
98,functional needs repair
99,functional needs repair
100,functional needs repair
101,non functional
102,non functional
103,functional
104,non functional
105,functional needs repair
106,functional
107,functional needs repair
108,non functional
109,functional needs repair
110,functional needs repair
111,non functional
112,non functional
113,non functional
114,non functional
115,non functional
116,functional needs repair
117,functional needs repair
118,functional needs repair
119,functional
120,non functional
121,functional needs repair
122,functional
123,functional
124,functional needs repair
125,functional needs repair
126,functional
127,functional
128,functional needs repair
129,functional needs repair
130,non functional
131,functional needs repair
132,functional
133,non functional
134,functional needs repair
135,non functional
136,functional needs repair
137,non functional
138,functional
139,functional needs repair
140,functional needs repair
141,non functional
142,non functional
143,functional
144,functional needs repair
145,functional needs repair
146,non functional
147,functional needs repair
148,non functional
149,non functional
150,non functional
151,functional
152,non functional
153,non functional
154,functional
155,non functional
156,functional
157,non functional
158,non functional
159,non functional
160,non functional
161,functional needs repair
162,non functional
163,functional
164,non functional
165,functional
166,functional needs repair
167,functional
168,functional
169,functional needs repair
170,functional needs repair
171,functional needs repair
172,non functional
173,functional
174,non functional
175,functional needs repair
176,non functional
177,functional needs repair
178,non functional
179,functional
180,non functional
181,non functional
182,functional needs repair
183,non functional
184,functional
185,functional needs repair
186,functional needs repair
187,functional
188,non functional
189,functional needs repair
190,non functional
191,functional needs repair
192,functional needs repair
193,functional needs repair
194,non functional
195,functional needs repair
196,non functional
197,non functional
198,functional needs repair
199,functional
200,functional needs repair
201,functional
202,functional
203,non functional
204,functional needs repair
205,functional needs repair
206,non functional
207,non functional
208,non functional
209,non functional
210,non functional
211,non functional
212,functional needs repair
213,functional needs repair
214,functional needs repair
215,non functional
216,functional
217,functional needs repair
218,functional
219,non functional
220,non functional
221,functional needs repair
222,functional needs repair
223,functional
224,non functional
225,functional needs repair
226,non functional
227,functional needs repair
228,non functional
229,functional
230,non functional
231,functional
232,non functional
233,non functional
234,non functional
235,functional needs repair
236,non functional
237,functional needs repair
238,non functional
239,functional
240,non functional
241,functional needs repair
242,non functional
243,non functional
244,non functional
245,functional needs repair
246,non functional
247,non functional
248,functional needs repair
249,non functional
250,functional
251,functional needs repair
252,non functional
253,functional needs repair
254,functional
255,functional needs repair
256,non functional
257,functional needs repair
258,functional needs repair
259,functional needs repair
260,non functional
261,functional needs repair
262,functional needs repair
263,functional needs repair
264,functional
265,non functional
266,non functional
267,non functional
268,functional
269,non functional
270,functional
271,non functional
272,non functional
273,functional needs repair
274,functional needs repair
275,functional
276,functional needs repair
277,functional needs repair
278,non functional
279,non functional
280,functional
281,functional
282,functional needs repair
283,non functional
284,functional needs repair
285,non functional
286,functional
287,non functional
288,functional needs repair
289,non functional
290,non functional
291,non functional
292,functional needs repair
293,non functional
294,non functional
295,non functional
296,functional
297,functional needs repair
298,functional needs repair
299,functional needs repair
300,non functional
301,non functional
302,functional needs repair
303,non functional
304,functional
305,functional needs repair
306,functional needs repair
307,functional needs repair
308,non functional
309,non functional
310,functional needs repair
311,functional needs repair
312,functional needs repair
313,functional
314,functional needs repair
315,functional needs repair
316,functional needs repair
317,functional needs repair
318,functional needs repair
319,functional
320,functional needs repair
321,functional needs repair
322,functional
323,functional needs repair
324,functional needs repair
325,non functional
326,functional needs repair
327,non functional
328,functional needs repair
329,functional
330,non functional
331,non functional
332,non functional
333,functional
334,functional
335,non functional
336,non functional
337,non functional
338,non functional
339,functional needs repair
340,non functional
341,non functional
342,functional needs repair
343,functional needs repair
344,functional needs repair
345,non functional
346,functional needs repair
347,non functional
348,functional
349,functional needs repair
350,functional
351,non functional
352,functional
353,non functional
354,functional
355,non functional
356,functional needs repair
357,non functional
358,functional needs repair
359,functional needs repair
360,non functional
361,functional
362,non functional
363,functional needs repair
364,non functional
365,functional
366,functional
367,functional needs repair
368,non functional
369,non functional
370,functional needs repair
371,functional
372,non functional
373,non functional
374,functional needs repair
375,non functional
376,non functional
377,non functional
378,non functional
379,functional
380,non functional
381,functional
382,functional needs repair
383,functional
384,functional needs repair
385,non functional
386,non functional
387,functional needs repair
388,non functional
389,non functional
390,non functional
391,functional needs repair
392,functional
393,functional
394,functional
395,functional needs repair
396,non functional
397,functional needs repair
398,functional needs repair
399,functional needs repair
400,functional needs repair
401,functional
402,non functional
403,non functional
404,functional needs repair
405,functional
406,functional needs repair
407,functional
408,functional needs repair
409,functional
410,functional
411,functional needs repair
412,non functional
413,functional needs repair
414,functional needs repair
415,functional needs repair
416,non functional
417,functional
418,functional needs repair
419,functional needs repair
420,functional
421,functional needs repair
422,functional needs repair
423,non functional
424,functional needs repair
425,functional needs repair
426,functional
427,functional needs repair
428,non functional
429,non functional
430,functional
431,non functional
432,non functional
433,non functional
434,functional
435,functional needs repair
436,non functional
437,functional needs repair
438,functional needs repair
439,functional needs repair
440,non functional
441,non functional
442,functional needs repair
443,non functional
444,functional
445,non functional
446,non functional
447,functional needs repair
448,functional
449,functional needs repair
450,non functional
451,non functional
452,functional needs repair
453,functional
454,functional needs repair
455,non functional
456,functional needs repair
457,functional
458,non functional
459,non functional
460,functional
461,functional needs repair
462,functional
463,functional needs repair
464,non functional
465,non functional
466,functional needs repair
467,functional needs repair
468,non functional
469,functional needs repair
470,non functional
471,functional
472,non functional
473,non functional
474,non functional
475,functional
476,non functional
477,non functional
478,non functional
479,functional needs repair
480,functional needs repair
481,functional needs repair
482,functional
483,functional needs repair
484,functional needs repair
485,functional needs repair
486,non functional
487,functional
488,functional needs repair
489,non functional
490,functional
491,functional needs repair
492,functional needs repair
493,functional
494,functional needs repair
495,non functional
496,non functional
497,functional
498,non functional
499,non functional
500,non functional
501,non functional
502,functional needs repair
503,non functional
504,non functional
505,functional needs repair
506,functional
507,functional
508,non functional
509,non functional
510,non functional
511,functional needs repair
512,functional needs repair
513,non functional
514,non functional
515,functional
516,non functional
517,non functional
518,functional
519,functional
520,non functional
521,functional needs repair
522,functional needs repair
523,non functional
524,functional needs repair
525,non functional
526,non functional
527,functional
528,functional needs repair
529,functional needs repair
530,functional needs repair
531,non functional
532,non functional
533,non functional
534,non functional
535,functional needs repair
536,functional needs repair
537,non functional
538,functional needs repair
539,functional needs repair
540,functional
541,functional needs repair
542,functional needs repair
543,functional needs repair
544,non functional
545,non functional
546,functional needs repair
547,non functional
548,functional needs repair
549,functional
550,functional
551,functional needs repair
552,functional
553,non functional
554,functional needs repair
555,functional needs repair
556,functional needs repair
557,functional
558,functional
559,functional needs repair
560,functional needs repair
561,functional needs repair
562,functional needs repair
563,functional
564,non functional
565,functional needs repair
566,functional
567,non functional
568,non functional
569,functional
570,non functional
571,non functional
572,functional
573,functional needs repair
574,functional needs repair
575,functional needs repair
576,functional needs repair
577,functional needs repair
578,functional needs repair
579,functional
580,functional
581,non functional
582,non functional
583,functional
584,non functional
585,functional needs repair
586,non functional
587,non functional
588,non functional
589,functional needs repair
590,functional needs repair
591,functional needs repair
592,functional
593,functional needs repair
594,non functional
595,non functional
596,non functional
597,functional needs repair
598,functional
599,non functional
600,functional needs repair
601,non functional
602,functional needs repair
603,functional needs repair
604,non functional
605,non functional
606,functional needs repair
607,functional needs repair
608,non functional
609,functional needs repair
610,non functional
611,functional needs repair
612,functional needs repair
613,functional needs repair
614,functional needs repair
615,non functional
616,functional needs repair
617,non functional
618,functional needs repair
619,non functional
620,non functional
621,functional
622,non functional
623,functional needs repair
624,functional needs repair
625,functional needs repair
626,functional
627,non functional
628,functional needs repair
629,functional needs repair
630,functional
631,non functional
632,non functional
633,functional
634,non functional
635,functional
636,non functional
637,non functional
638,non functional
639,functional needs repair
640,non functional
641,functional
642,functional needs repair
643,non functional
644,non functional
645,functional needs repair
646,non functional
647,non functional
648,non functional
649,functional needs repair
650,non functional
651,non functional
652,functional needs repair
653,functional
654,functional
655,functional needs repair
656,functional
657,non functional
658,functional needs repair
659,functional
660,functional needs repair
661,functional needs repair
662,functional needs repair
663,functional
664,non functional
665,non functional
666,functional
667,non functional
668,functional
669,functional
670,functional needs repair
671,non functional
672,non functional
673,functional needs repair
674,functional needs repair
675,functional needs repair
676,non functional
677,functional
678,non functional
679,non functional
680,non functional
681,functional
682,non functional
683,functional needs repair
684,non functional
685,functional needs repair
686,functional needs repair
687,non functional
688,functional needs repair
689,functional needs repair
690,non functional
691,non functional
692,functional needs repair
693,non functional
694,non functional
695,non functional
696,functional needs repair
697,non functional
698,functional needs repair
699,non functional
700,functional
701,functional needs repair
702,non functional
703,functional needs repair
704,non functional
705,functional needs repair
706,non functional
707,functional needs repair
708,functional
709,non functional
710,functional
711,functional needs repair
712,functional needs repair
713,functional
714,non functional
715,functional
716,functional
717,functional needs repair
718,non functional
719,functional needs repair
720,non functional
721,functional
722,non functional
723,functional
724,functional needs repair
725,non functional
726,functional needs repair
727,functional needs repair
728,non functional
729,non functional
730,functional
731,functional needs repair
732,functional needs repair
733,non functional
734,non functional
735,functional
736,functional
737,functional needs repair
738,functional needs repair
739,functional needs repair
740,functional
741,functional needs repair
742,functional
743,functional
744,functional needs repair
745,non functional
746,non functional
747,functional
748,functional
749,functional needs repair
750,functional needs repair
751,functional
752,functional needs repair
753,non functional
754,functional
755,non functional
756,non functional
757,non functional
758,functional needs repair
759,non functional
760,functional
761,functional needs repair
762,functional
763,functional needs repair
764,non functional
765,functional needs repair
766,non functional
767,functional needs repair
768,functional
769,functional
770,functional needs repair
771,functional
772,non functional
773,functional
774,functional needs repair
775,non functional
776,functional needs repair
777,non functional
778,non functional
779,functional needs repair
780,functional needs repair
781,functional needs repair
782,non functional
783,functional needs repair
784,functional needs repair
785,non functional
786,functional
787,functional needs repair
788,non functional
789,non functional
790,functional needs repair
791,non functional
792,functional needs repair
793,functional needs repair
794,functional needs repair
795,functional
796,functional needs repair
797,functional
798,functional needs repair
799,non functional
800,functional
801,functional
802,non functional
803,non functional
804,functional needs repair
805,functional needs repair
806,non functional
807,non functional
808,functional
809,non functional
810,functional needs repair
811,non functional
812,functional needs repair
813,non functional
814,functional needs repair
815,functional needs repair
816,non functional
817,non functional
818,functional
819,functional
820,functional needs repair
821,functional
822,functional
823,non functional
824,non functional
825,functional needs repair
826,non functional
827,functional needs repair
828,functional needs repair
829,non functional
830,non functional
831,functional
832,functional
833,functional needs repair
834,functional
835,functional needs repair
836,non functional
837,non functional
838,non functional
839,non functional
840,functional needs repair
841,functional needs repair
842,functional
843,non functional
844,non functional
845,functional needs repair
846,non functional
847,functional needs repair
848,functional needs repair
849,functional needs repair
850,functional
851,non functional
852,non functional
853,non functional
854,non functional
855,functional
856,functional
857,functional needs repair
858,non functional
859,non functional
860,functional
861,non functional
862,non functional
863,non functional
864,functional
865,non functional
866,functional
867,functional needs repair
868,non functional
869,non functional
870,functional needs repair
871,non functional
872,functional needs repair
873,non functional
874,non functional
875,non functional
876,functional needs repair
877,functional
878,non functional
879,functional needs repair
880,functional
881,non functional
882,functional
883,non functional
884,non functional
885,functional needs repair
886,non functional
887,functional needs repair
888,functional
889,functional
890,non functional
891,non functional
892,functional needs repair
893,functional needs repair
894,non functional
895,functional needs repair
896,functional needs repair
897,non functional
898,functional needs repair
899,functional needs repair
900,functional
901,functional needs repair
902,functional needs repair
903,non functional
904,non functional
905,non functional
906,non functional
907,functional needs repair
908,functional
909,non functional
910,functional needs repair
911,functional
912,non functional
913,functional needs repair
914,functional
915,non functional
916,functional needs repair
917,functional needs repair
918,non functional
919,functional needs repair
920,functional needs repair
921,functional
922,functional needs repair
923,non functional
924,functional needs repair
925,functional
926,functional needs repair
927,functional
928,functional needs repair
929,functional
930,functional needs repair
931,non functional
932,functional
933,non functional
934,functional needs repair
935,non functional
936,functional needs repair
937,non functional
938,functional
939,functional needs repair
940,functional
941,non functional
942,functional needs repair
943,non functional
944,functional needs repair
945,functional needs repair
946,functional needs repair
947,functional needs repair
948,non functional
949,functional
950,functional needs repair
951,functional needs repair
952,functional needs repair
953,non functional
954,functional needs repair
955,non functional
956,functional needs repair
957,non functional
958,functional needs repair
959,non functional
960,non functional
961,functional
962,functional needs repair
963,non functional
964,functional needs repair
965,functional needs repair
966,functional
967,functional needs repair
968,functional
969,functional needs repair
970,non functional
971,functional needs repair
972,non functional
973,non functional
974,functional needs repair
975,functional
976,functional
977,non functional
978,functional
979,functional needs repair
980,functional
981,functional
982,non functional
983,functional needs repair
984,non functional
985,non functional
986,functional needs repair
987,functional needs repair
988,functional
989,non functional
990,non functional
991,functional
992,functional needs repair
993,functional needs repair
994,functional
995,non functional
996,functional needs repair
997,non functional
998,functional needs repair
999,non functional
1000,non functional
1001,functional needs repair
1002,functional
1003,functional
1004,functional needs repair
1005,non functional
1006,functional needs repair
1007,functional needs repair
1008,non functional
1009,functional needs repair
1010,functional needs repair
1011,functional needs repair
1012,functional needs repair
1013,functional
1014,functional
1015,non functional
1016,functional
1017,functional needs repair
1018,non functional
1019,non functional
1020,functional needs repair
1021,functional
1022,non functional
1023,non functional
1024,functional
1025,functional
1026,non functional
1027,non functional
1028,functional needs repair
1029,non functional
1030,non functional
1031,functional needs repair
1032,functional needs repair
1033,functional
1034,functional
1035,non functional
1036,non functional
1037,functional
1038,non functional
1039,functional
1040,functional needs repair
1041,functional
1042,functional needs repair
1043,functional needs repair
1044,functional
1045,functional needs repair
1046,non functional
1047,non functional
1048,functional needs repair
1049,non functional
1050,functional
1051,non functional
1052,functional needs repair
1053,non functional
1054,functional needs repair
1055,non functional
1056,non functional
1057,functional needs repair
1058,functional
1059,functional
1060,non functional
1061,functional
1062,non functional
1063,functional needs repair
1064,non functional
1065,non functional
1066,functional
1067,functional needs repair
1068,functional
1069,non functional
1070,functional needs repair
1071,functional needs repair
1072,functional needs repair
1073,functional needs repair
1074,functional
1075,non functional
1076,functional needs repair
1077,non functional
1078,functional needs repair
1079,functional
1080,non functional
1081,non functional
1082,non functional
1083,functional needs repair
1084,non functional
1085,non functional
1086,functional
1087,functional needs repair
1088,functional needs repair
1089,non functional
1090,functional needs repair
1091,non functional
1092,non functional
1093,functional needs repair
1094,non functional
1095,functional needs repair
1096,functional needs repair
1097,functional
1098,functional needs repair
1099,functional needs repair
1100,non functional
1101,functional needs repair
1102,non functional
1103,non functional
1104,functional
1105,non functional
1106,functional needs repair
1107,functional needs repair
1108,non functional
1109,non functional
1110,functional
1111,functional needs repair
1112,functional
1113,non functional
1114,non functional
1115,functional needs repair
1116,functional needs repair
1117,non functional
1118,functional
1119,non functional
1120,functional needs repair
1121,functional
1122,non functional
1123,functional needs repair
1124,functional needs repair
1125,functional needs repair
1126,non functional
1127,functional
1128,non functional
1129,non functional
1130,non functional
1131,functional
1132,functional needs repair
1133,non functional
1134,functional needs repair
1135,non functional
1136,non functional
1137,functional needs repair
1138,functional
1139,functional
1140,non functional
1141,functional needs repair
1142,functional needs repair
1143,functional needs repair
1144,non functional
1145,non functional
1146,functional needs repair
1147,functional needs repair
1148,functional needs repair
1149,non functional
1150,non functional
1151,non functional
1152,functional needs repair
1153,functional needs repair
1154,non functional
1155,non functional
1156,functional needs repair
1157,non functional
1158,non functional
1159,functional
1160,non functional
1161,functional needs repair
1162,non functional
1163,non functional
1164,non functional
1165,functional needs repair
1166,functional needs repair
1167,functional needs repair
1168,functional
1169,non functional
1170,non functional
1171,functional
1172,functional needs repair
1173,functional
1174,non functional
1175,functional needs repair
1176,functional needs repair
1177,functional
1178,non functional
1179,non functional
1180,functional needs repair
1181,functional needs repair
1182,non functional
1183,functional needs repair
1184,functional needs repair
1185,functional needs repair
1186,functional
1187,functional needs repair
1188,functional
1189,functional
1190,functional needs repair
1191,functional needs repair
1192,functional needs repair
