id,amount_tsh,date_recorded,funder,gps_height,installer,longitude,latitude,wpt_name,num_private,basin,subvillage,region,region_code,district_code,lga,ward,population,public_meeting,recorded_by,scheme_management,scheme_name,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group
1,682.4,2013-12-03,Private,811,unknown,37.30452216038163,-4.7679360056026265,Kwa Hassan,7,Lake Nyasa,A,Dar es Salaam,5,8,Ilala,Moshono,0,True,GeoData Consultants Ltd,vwc,unknown,False,2010,rope pump,gravity,submersible,water board,commercial,monthly,monthly,soft,good,dry,dry,rainwater harvesting,spring,groundwater,dam,dam
2,91.4,2012-09-06,Germany,0,unknown,39.42042430032622,-6.277784307276133,Kwa Hassan,7,Lake Victoria,D,Morogoro,1,4,Temeke,Moshono,271,False,GeoData Consultants Ltd,private operator,Scheme A,False,0,gravity,gravity,motorpump,vwc,unknown,pay per bucket,never pay,milky,unknown,enough,seasonal,shallow well,rainwater harvesting,groundwater,hand pump,improved spring
3,100.3,2012-07-04,World Bank,285,CES,34.3451888252222,-10.76621593585081,Kwa Mama,5,Pangani,B,Kilimanjaro,19,5,Arusha DC,Sinza,14,True,GeoData Consultants Ltd,vwc,unknown,True,0,gravity,handpump,motorpump,private operator,commercial,never pay,monthly,soft,good,insufficient,enough,borehole,shallow well,unknown,hand pump,improved spring
4,197.7,2012-11-17,unknown,1615,unknown,37.8818520236626,-10.75610103810835,unknown,4,Lake Victoria,A,Dar es Salaam,16,7,Temeke,Kilimanjaro Central,476,True,GeoData Consultants Ltd,water board,Scheme B,False,1990,motorpump,rope pump,submersible,water board,commercial,never pay,monthly,soft,unknown,dry,seasonal,rainwater harvesting,borehole,groundwater,hand pump,dam
5,1077.3,2013-03-23,unknown,0,DWE,29.82090931075098,-7.737044285647807,Kwa Mzee,6,Lake Victoria,A,Kilimanjaro,6,4,Moshi,Moshono,301,False,GeoData Consultants Ltd,water board,Scheme A,False,2010,gravity,gravity,handpump,user-group,unknown,never pay,other,milky,bad,enough,seasonal,rainwater harvesting,borehole,surface,improved spring,communal standpipe
6,351.0,2013-09-17,unknown,708,WE,30.80613181337815,-5.295128564149751,Kwa Mama,3,Wami/Ruvu,B,Kilimanjaro,2,8,Moshi,Sinza,401,False,GeoData Consultants Ltd,vwc,Scheme B,True,2000,handpump,gravity,submersible,private operator,commercial,other,other,salty,good,seasonal,dry,borehole,shallow well,groundwater,hand pump,improved spring
7,236.7,2013-04-27,World Bank,1787,CES,32.61600014477869,-10.499659843423354,Kwa Mama,1,Pangani,B,Morogoro,24,6,Kinondoni,Machame Uroki,0,True,GeoData Consultants Ltd,water board,Scheme B,False,1980,gravity,submersible,rope pump,vwc,unknown,pay per bucket,monthly,milky,good,enough,insufficient,spring,rainwater harvesting,unknown,hand pump,communal standpipe
8,152.8,2011-06-27,Germany,0,unknown,39.19508605642669,-3.948008719355938,Kwa Mama,2,Pangani,D,Kilimanjaro,21,8,Moshi,Machame Uroki,55,True,GeoData Consultants Ltd,user-group,unknown,True,1990,handpump,motorpump,submersible,water board,user-group,monthly,never pay,soft,unknown,insufficient,enough,rainwater harvesting,shallow well,groundwater,improved spring,hand pump
9,183.4,2011-11-18,Government,572,unknown,34.44607907597344,-10.700001866625938,unknown,8,Lake Tanganyika,B,Dodoma,10,2,Hai,Kilimanjaro Central,372,True,GeoData Consultants Ltd,water board,unknown,True,1980,motorpump,handpump,motorpump,user-group,user-group,pay per bucket,monthly,soft,unknown,dry,dry,spring,spring,surface,communal standpipe,improved spring
10,148.5,2012-05-20,unknown,1329,unknown,33.763290399983426,-1.6073799243078177,unknown,3,Wami/Ruvu,B,Dar es Salaam,25,3,Temeke,Sinza,99,True,GeoData Consultants Ltd,vwc,Scheme A,True,1980,gravity,gravity,submersible,vwc,user-group,never pay,pay per bucket,fluoride,unknown,dry,insufficient,borehole,spring,groundwater,dam,communal standpipe
11,149.3,2012-01-02,World Bank,871,unknown,32.8536723942614,-0.0222260861448369,Kwa Mzee,8,Ruvuma,D,Dodoma,11,6,Ilala,Kijitonyama,79,True,GeoData Consultants Ltd,vwc,Scheme A,False,1980,submersible,rope pump,submersible,water board,user-group,never pay,monthly,soft,unknown,dry,insufficient,rainwater harvesting,rainwater harvesting,unknown,hand pump,communal standpipe
