Operator,Part,Trial,Measured Value
C,N/A,1,98.85764202043441
D,N/A,1,101.14516556271232
A,N/A,1,102.798710873172
C,N/A,5,101.84926736582554
C,N/A,4,100.11926073984034
D,N/A,5,98.70612644458885
A,N/A,4,101.39644662722718
A,N/A,5,100.7869707708435
C,N/A,5,101.79038644005547
B,N/A,3,101.27034360336394
C,N/A,5,102.09910543063867
C,N/A,2,98.92952957687886
C,N/A,3,102.63478813126865
C,N/A,5,100.3951992093848
D,N/A,1,104.15052174525053
A,N/A,2,98.62162436382087
D,N/A,2,103.4719276063305
D,N/A,2,100.39582156692529
D,N/A,3,98.69716399277111
C,N/A,5,99.03222833189136
B,N/A,5,99.35930538361136
A,N/A,1,100.84833189280383
B,N/A,1,101.045670976071
D,N/A,2,98.85259999212285
D,N/A,1,99.95129081547803
B,N/A,3,104.28454071722373
B,N/A,5,103.45508634020142
B,N/A,2,100.87264733934806
D,N/A,1,100.0760069563364
D,N/A,3,100.24006265343652
A,N/A,3,101.22703594546083
A,N/A,1,97.95441486960318
D,N/A,5,99.4852469251533
B,N/A,1,96.66283185224482
B,N/A,2,100.79844624521056
A,N/A,1,101.29439187940548
D,N/A,3,99.03362707540126
A,N/A,1,103.14797352658006
A,N/A,5,97.54846867399532
C,N/A,4,97.07125023958037
C,N/A,1,100.44890363711994
C,N/A,5,102.09419660522431
B,N/A,5,103.36785538291574
D,N/A,3,99.08223147426212
D,N/A,5,102.15736166686258
D,N/A,5,99.92298306099859
D,N/A,5,99.65474540011836
C,N/A,5,101.76731987497334
B,N/A,2,101.30464575682684
B,N/A,2,96.8472156860315
C,N/A,3,102.95308069945179
B,N/A,1,102.7601827082949
C,N/A,5,98.74887459698094
D,N/A,1,100.79160706687482
C,N/A,1,100.98806037256547
D,N/A,3,100.52134753164782
D,N/A,5,98.89938969230916
A,N/A,5,98.65675326412389
C,N/A,4,99.9488918580171
A,N/A,1,102.34545803851873
C,N/A,1,101.08720030918886
C,N/A,2,99.25877133582779
A,N/A,4,101.54339742129669
A,N/A,2,94.30291475873985
C,N/A,2,102.2975314007442
B,N/A,2,96.52057244244381
D,N/A,3,99.27511811719374
A,N/A,3,97.76066021074772
D,N/A,2,97.41063704855819
B,N/A,4,102.32165357475704
B,N/A,1,99.06459759737622
B,N/A,4,100.69300776346144
