Richardson,Stabilized,Denoised,Hybrid
1556.492096320605,1556.8016638098393,1555.9974283945362,1556.0608952333337
1556.732592711325,1556.9074646033137,1556.3746745356796,1556.2764957769693
1557.0293448251166,1557.0970497347216,1557.3526626016824,1556.5045442441472
1557.3355229013973,1557.338555887719,1557.098974617981,1556.7669445346319
1557.6195241075718,1557.6051120889683,1557.2570175969754,1557.0512337180146
1557.8736384968824,1557.8827639326273,1556.944937896994,1557.3353789127932
1558.1316166236552,1558.168853901087,1558.084547419096,1557.6045087048378
1558.4090334347509,1558.4648081356208,1559.544757834606,1557.8680626642465
1558.771343204085,1558.7697730838681,1559.346812839406,1558.1385480494987
1559.1142710422941,1559.0795361186888,1558.650274179295,1558.4549456267919
1559.3780840161312,1559.389897068014,1558.8793568024012,1558.784608334543
1559.7185369253568,1559.6996927309256,1560.1807429415007,1559.081346175337
1559.966706839122,1560.0102934968663,1560.057644265176,1559.399941550347
1560.3282017602153,1560.322999515965,1560.5700673175936,1559.6833241947345
1560.661309989336,1560.6375585274889,1559.8442084830829,1560.005762977475
1560.9180044549846,1560.9528509926122,1560.8238688908582,1560.3335364834054
1561.2961315127816,1561.2684733779363,1561.854250852054,1560.625770469195
1561.5895207705398,1561.586007900261,1560.89091230697,1560.9609509909883
1561.8683226786645,1561.908992899292,1562.0767544201003,1561.275235880764
1562.1955355371945,1562.2404392119117,1561.6383520162,1561.5717792797143
1562.5552417124513,1562.5792054330796,1563.7614129518768,1561.8836574084544
1562.9825738686416,1562.919463064144,1562.9277364190916,1562.2194495604529
1563.2931741660093,1563.2548442811485,1563.1583657940366,1562.6010117145472
1563.563438736864,1563.5828414252571,1565.603780044342,1562.9470929402783
1563.9084365321069,1563.9044240614207,1563.9258736370437,1563.2552658385712
1564.2284240232361,1564.2199753094828,1564.721170141303,1563.581851185339
1564.5583313938928,1564.526632411088,1564.4349268727703,1563.9051376042876
1564.8738973842928,1564.8193442530103,1566.5430287865736,1564.2317344990902
1565.1376713846155,1565.0936029554923,1565.282040851567,1564.5528159416915
1565.3827289744784,1565.3468974101552,1564.4025611542525,1564.8452436631535
1565.620743570195,1565.578382866287,1565.9354837076944,1565.113986318816
1565.8435462984244,1565.7886502664844,1566.4145444923558,1565.3673649445054
1566.0320639932784,1565.9808215896026,1566.1362994165556,1565.605455621465
1566.1370819869337,1566.1613337116291,1565.583127415289,1565.8187598073716
1566.321421788533,1566.3381230001917,1567.8321220280275,1565.9779208971527
1566.4983711844156,1566.517151256357,1567.329410865277,1566.1496713428428
1566.7045496964392,1566.70062301778,1566.6717423912578,1566.3240212636292
1566.885082724698,1566.888143774101,1565.8782414662696,1566.5142854800342
1567.0648065141677,1567.078749385757,1566.8268884501335,1566.699684102366
1567.2718577738299,1567.2716230404737,1566.8960711241546,1566.8822453082669
1567.4623201923202,1567.4655727500246,1567.2376555039928,1567.0770515410484
1567.6680548760426,1567.65841879746,1567.8096237953828,1567.2696858666843
1567.8584868440241,1567.8467536148416,1567.3120480974144,1567.4688703713634
1568.0510027166424,1568.0259671073188,1568.6160343979736,1567.6636786076938
1568.248108737519,1568.1905164081372,1568.0574876406517,1567.857340662168
1568.368501895215,1568.3343667406798,1568.2354148802733,1568.0527246998436
1568.5206626107445,1568.45167387705,1569.877694094504,1568.2106132975293
1568.6386367191847,1568.5381980728907,1569.1573846908045,1568.365637954137
1568.6493489213397,1568.5931155318408,1569.1471250166912,1568.5021373366608
1568.6493489213397,1568.6190518629783,1569.1155145279097,1568.6493489213397
